Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
DLA/multiplication,2.3144053761408557e-3,2.2981202847821604e-3,2.331659021015116e-3,6.206767534953076e-5,4.887358090123086e-5,7.439520951560378e-5
DLA/repeated multiplication,8.285156436527339e-3,8.057659403866147e-3,8.518978284157808e-3,7.718504404466024e-4,6.110622899469089e-4,1.0283880617947346e-3
DLA/multiplicationV,1.8772998186033784e-5,1.8448265053469306e-5,1.9135039973900193e-5,1.1839736148616773e-6,9.954336167150214e-7,1.5107507066334567e-6
DLA/qr factorization,1.9227429388940403e-3,1.912410245951494e-3,1.9415150595999268e-3,4.953398833768891e-5,3.673729251204227e-5,7.088807698962637e-5
DLA/transpose,1.3181598837838825e-4,1.2607253141698035e-4,1.3789052129294088e-4,2.2904929209751827e-5,1.854030187737287e-5,3.056007081041927e-5
DLA/norm,1.7546854244476684e-5,1.7155654189820026e-5,1.8246229003564505e-5,1.8204428690049636e-6,1.2820242452545418e-6,2.575911441598974e-6
DLA/row,2.470733415049642e-8,2.2585010945553364e-8,2.901129782515604e-8,9.912727060450572e-9,5.448784077828285e-9,1.538887060710674e-8
DLA/column,4.735083792251437e-7,4.323627889336564e-7,5.222648972569696e-7,1.467808898934659e-7,1.1304040992645454e-7,1.79727471454828e-7
DLA/identity,1.5691830552150946e-5,1.3979382455031372e-5,1.807099207910537e-5,5.7391318233635895e-6,4.746248250717542e-6,7.096263323342456e-6
DLA/diag,1.5094508206148542e-5,1.3259864727585077e-5,1.771748726766238e-5,7.764019096340002e-6,5.833605502541444e-6,1.1592722400925036e-5
DLA/map const 0,2.088238891142586e-5,1.9580248393020683e-5,2.2190364760539694e-5,4.031638607887321e-6,3.344306274362753e-6,4.771390890191843e-6
DLA/map sqr,4.393169149420123e-5,4.077338352057693e-5,4.962934040102567e-5,1.6271459866869967e-5,1.0217192554791313e-5,2.642032272452877e-5
Hmatrix/multiplication,3.344851751451539e-4,3.307641114171986e-4,3.403000117839289e-4,1.5183336716516293e-5,1.2785279118689245e-5,1.9884708305914695e-5
Hmatrix/repeated multiplication,1.0131555686669215e-3,9.953916922789382e-4,1.0318873642394231e-3,6.049912826762589e-5,4.830847508517701e-5,7.35092323635459e-5
Hmatrix/multiplicationV,1.1747359720755952e-5,1.1573890304539856e-5,1.2107001452781188e-5,7.764732454320773e-7,4.7225564490526556e-7,1.3252836877085988e-6
Hmatrix/qr factorization,6.617605376638326e-2,6.367777623704979e-2,6.864557718870469e-2,4.348867635111489e-3,3.4059146541935204e-3,5.446977339501734e-3
Hmatrix/transpose,2.4424607127155583e-8,2.3407342625878546e-8,2.5720733042419734e-8,4.726054487723138e-9,4.109925796996179e-9,5.349528421682862e-9
Hmatrix/norm,4.76072013039552e-6,4.615781034822324e-6,5.004169768702998e-6,6.14942081269724e-7,4.980660221997882e-7,7.559096007871024e-7
Hmatrix/row,1.928980617210841e-6,1.8366220842252803e-6,2.313147842953514e-6,5.099390858988058e-7,1.4031577438448106e-7,1.1363033756982873e-6
Hmatrix/column,2.0873830666911834e-6,1.9981597079252406e-6,2.323908004834903e-6,4.7597993605090767e-7,1.4095560484259958e-7,9.774369426180773e-7
Hmatrix/identity,1.707671204471717e-4,1.5915906414525676e-4,1.8397400058715207e-4,3.80604856377129e-5,3.12956833715207e-5,5.0734141356799895e-5
Hmatrix/diag,2.723619219516694e-4,2.377442821766185e-4,3.943405836808692e-4,1.5872518193349965e-4,7.3260352432451e-5,3.180587486658951e-4
Hmatrix/map const 0,8.82060121332003e-4,8.023634460009383e-4,9.956255233579477e-4,3.243687305390692e-4,2.516743606976195e-4,4.3623517019685865e-4
Hmatrix/map sqr,1.3591628232153606e-3,1.168529224182045e-3,1.5499866688022047e-3,6.250725455852968e-4,4.979313379935425e-4,8.856846788516652e-4
NumHask/multiplication,1.033331898207204,0.8973716662064058,1.1447229207478813,0.1424136797276153,0.11996630913398083,0.1677620011104638
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
